time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-07T12:51:11.247Z,60.1476,-148.5703,22.1,2.5,ml,,,,0.75,ak,ak019fo5pi1y,2019-12-07T12:57:43.339Z,"45km E of Bear Creek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-07T10:43:40.190Z,35.866333,-119.7958298,6.3,2.62,md,39,66,0.2446,0.27,nc,nc73312401,2019-12-07T11:03:04.696Z,"22km SE of Kettleman City, CA",earthquake,0.46,1.29,0.14,22,automatic,nc,nc
2019-12-07T10:36:34.078Z,-24.3068,-69.0044,123.03,4.3,mb,,43,1.004,1,us,us60006nj5,2019-12-07T10:54:26.040Z,"159km ESE of Antofagasta, Chile",earthquake,5.7,4.9,0.187,8,reviewed,us,us
2019-12-07T10:27:21.083Z,58.9781,-154.3796,125.9,3.8,ml,,,,0.74,ak,ak019fo4dicg,2019-12-07T10:41:18.156Z,"90km SSE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-07T09:28:21.458Z,53.8716,169.4319,10,4.4,mb,,156,3.025,0.92,us,us60006nid,2019-12-07T10:21:48.040Z,"266km ESE of Nikol'skoye, Russia",earthquake,11.6,1.9,0.095,32,reviewed,us,us
2019-12-07T07:52:51.140Z,19.3583,-67.5465,10,3.36,md,13,310,0.9761,0.38,pr,pr2019341005,2019-12-07T10:48:14.040Z,"69km NNW of San Antonio, Puerto Rico",earthquake,11.97,16.97,0.4,13,reviewed,pr,pr
2019-12-07T07:51:16.008Z,43.1993,147.0066,46.73,4.6,mb,,166,3.332,0.72,us,us60006nhb,2019-12-07T08:22:38.040Z,"70km SSE of Shikotan, Russia",earthquake,9.6,9.4,0.091,36,reviewed,us,us
2019-12-07T07:40:42.819Z,7.3238,-79.6719,10,4.9,mb,,115,1.838,0.92,us,us60006nh1,2019-12-07T13:20:57.306Z,"46km ESE of Pedasi, Panama",earthquake,7.1,1.9,0.066,72,reviewed,us,us
2019-12-07T07:27:28.504Z,58.9264,-150.4472,32.3,2.6,ml,,,,0.57,ak,ak019fo2l861,2019-12-07T07:32:55.997Z,"101km SE of Homer, Alaska",earthquake,,3.1,,,automatic,ak,ak
2019-12-07T07:15:46.144Z,52.3634,173.8508,44.19,4.7,mb,,147,0.399,0.87,us,us60006ngv,2019-12-07T07:32:40.040Z,"44km SSW of Shemya Island, Alaska",earthquake,7,7.3,0.086,41,reviewed,us,us
2019-12-07T05:47:20.750Z,17.608,-68.8095,5,2.77,md,4,261,1.7459,0.07,pr,pr2019341003,2019-12-07T10:46:00.040Z,"76km SSW of Boca de Yuma, Dominican Republic",earthquake,1.93,1.54,0.15,4,reviewed,pr,pr
2019-12-07T05:43:45.620Z,17.6896,-68.758,8,2.8,md,5,254,1.6785,0.23,pr,pr2019341002,2019-12-07T10:37:56.040Z,"34km S of Boca de Yuma, Dominican Republic",earthquake,3.43,4.34,0.13,5,reviewed,pr,pr
2019-12-07T04:52:56.920Z,19.203,-67.1245,7,2.86,md,3,357,1.0279,0.29,pr,pr2019341001,2019-12-07T07:52:10.205Z,"78km N of Isabela, Puerto Rico",earthquake,19.79,17.75,0.28,3,reviewed,pr,pr
2019-12-07T04:27:59.280Z,40.2861671,-124.302002,18.97,3.45,ml,17,139,0.03113,0.06,nc,nc73312361,2019-12-07T09:17:41.655Z,"5km SSW of Petrolia, CA",earthquake,0.75,0.45,0.301,9,reviewed,nc,nc
2019-12-07T04:17:37.000Z,18.9605,-68.145,106,2.82,md,7,198,1.3182,0.46,pr,pr2019341000,2019-12-07T07:51:45.610Z,"50km NNE of Punta Cana, Dominican Republic",earthquake,6.58,3.56,0.3,7,reviewed,pr,pr
2019-12-07T03:33:52.576Z,37.5491,141.6912,40.01,4.7,mb,,134,2.764,0.42,us,us60006nf4,2019-12-07T03:59:18.040Z,"61km E of Namie, Japan",earthquake,9.3,7.9,0.045,150,reviewed,us,us
2019-12-07T02:34:05.629Z,-24.1104,-67.0141,187.36,4.3,mb,,54,1.572,1.09,us,us60006neq,2019-12-07T02:57:26.040Z,"71km W of San Antonio de los Cobres, Argentina",earthquake,8.9,9.4,0.177,9,reviewed,us,us
2019-12-07T02:09:54.340Z,19.3508339,-154.744339,38.8,2.78,ml,59,285,0.1947,0.12,hv,hv71265706,2019-12-07T02:27:34.040Z,"22km SE of Leilani Estates, Hawaii",earthquake,0.71,0.75,0.2,13,automatic,hv,hv
2019-12-07T02:04:25.346Z,55.3156,161.9882,89.44,4.5,mb,,139,3.02,0.91,us,us60006ne2,2019-12-07T02:22:34.040Z,"106km SSW of Ust'-Kamchatsk Staryy, Russia",earthquake,12.9,8.3,0.043,157,reviewed,us,us
2019-12-07T01:49:21.420Z,40.2541656,-123.8594971,30.91,3.16,ml,19,66,0.009881,0.13,nc,nc73312336,2019-12-07T04:41:20.251Z,"15km NNW of Redway, CA",earthquake,0.55,1.27,0.306,9,automatic,nc,nc
2019-12-07T01:13:07.240Z,18.2841,-67.1311,91,2.67,md,11,112,0.1174,0.23,pr,pr2019341006,2019-12-07T08:42:38.762Z,"0km E of Anasco, Puerto Rico",earthquake,1.59,1.27,0.2,10,reviewed,pr,pr
2019-12-07T00:59:55.050Z,18.8995,-67.1025,86,3.1,md,7,209,0.8931,0.49,pr,pr2019341004,2019-12-07T08:42:03.201Z,"44km N of Isabela, Puerto Rico",earthquake,5.27,8.69,0.25,6,reviewed,pr,pr
2019-12-07T00:20:58.520Z,33.5486679,-118.3028336,6.17,3.03,ml,103,99,0.1637,0.32,ci,ci39220296,2019-12-07T09:23:45.933Z,"21km S of San Pedro, CA",earthquake,0.26,1.25,0.326,21,reviewed,ci,ci
2019-12-06T23:16:43.330Z,19.0768,-67.2363,10,2.78,md,3,319,0.622,0.16,pr,pr2019340018,2019-12-07T08:39:52.898Z,"66km NNW of San Antonio, Puerto Rico",earthquake,2.07,2.94,0.19,3,reviewed,pr,pr
